RA;Idade;Sexo;IE;INDE 2022;INDE 2023;INDE 2024;Fase;Turma;Cg;Cf;Ct;Rec Av1;Rec Av2;Rec Av3;Rec Av4;IAA;IEG;IPS;IDA;Mat;Por;Atingiu PV;IPV;IAN;Defasagem;Destaque IEG;Destaque IDA;Destaque IPV;IPP;N_Idade;N_INDE 2022;N_INDE 2023;N_INDE 2024;N_Cg;N_Cf;N_Ct;N_Rec Av1;N_Rec Av2;N_Rec Av3;N_Rec Av4;N_IAA;N_IEG;N_IPS;N_IDA;N_Mat;N_Por;N_IPV;N_IAN;N_Defasagem;N_IPP;N_Sexo;N_Atingiu PV
RA-13;18;Masculino;Escola Pública;6,9;6,68;;7;A;524;10;4;1;1;1;0;7,9;7,4;7,5;4,7;3,5;5,5;Não;8,06;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7,5;0,55;0,6;0,52;;0,61;0,05;0,18;1;1;1;0;0,79;0,74;0,67;0,47;0,35;0,55;0,74;0,33;0,5;0,67;1;0
RA-14;21;Masculino;Escola Pública;6,79;7,2;;7;D;558;12;7;1;0;0;0;7,9;8,3;7,5;4;8;0;Não;7,75;5;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7,52;0,7;0,59;0,61;;0,65;0,06;0,35;1;0;0;0;0,79;0,83;0,67;0,4;0,8;0;0,7;0,33;0,5;0,67;1;0
RA-15;18;Masculino;Escola Pública;7,78;8,05;;7;D;207;3;2;1;0;0;0;8,8;10;7,5;7,3;8;6,5;Não;7,29;5;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,84;0,55;0,74;0,77;;0,24;0,01;0,06;1;0;0;0;0,88;1;0,67;0,73;0,8;0,65;0,64;0,33;0,5;0,71;1;0
RA-16;19;Masculino;Escola Pública;6,11;6,81;;7;D;706;14;8;1;0;0;0;7,9;8,3;5;3,5;7;0;Não;6,33;5;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,05;0,6;0,48;0,54;;0,82;0,07;0,41;1;0;0;0;0,79;0,83;0,33;0,35;0,7;0;0,51;0,33;0,5;0,61;1;0
RA-17;20;Masculino;Escola Pública;8,07;8;;7;D;125;2;1;1;0;0;0;8,8;10;7,5;7,8;9;6,5;Não;8,29;5;-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8,16;0,65;0,79;0,76;;0,14;0,01;0;1;0;0;0;0,88;1;0,67;0,78;0,9;0,65;0,77;0,33;0,5;0,75;1;0
RA-18;19;Masculino;Escola Pública;7,23;7,7;;7;D;418;7;5;1;0;1;0;6,3;8,7;6,3;9;9;9;Não;6,88;5;-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,7;0,6;0,66;0,7;;0,48;0,03;0,24;1;0;1;0;0,63;0,87;0,51;0,9;0,9;0,9;0,58;0,33;0,5;0,69;1;0
RA-19;19;Feminino;Escola Pública;7,66;7,66;;7;D;248;4;3;1;0;1;0;7,9;9,5;7,5;8;7;9;Não;7;5;-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,51;0,6;0,72;0,7;;0,29;0,02;0,12;1;0;1;0;0,79;0,95;0,67;0,8;0,7;0,9;0,6;0,33;0,5;0,67;0;0
RA-20;19;Feminino;Escola Pública;7,54;7,42;;7;D;296;5;4;1;0;0;0;7,1;10;6,3;7,8;9;6,5;Não;7,17;5;-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,59;0,6;0,7;0,65;;0,34;0,02;0,18;1;0;0;0;0,71;1;0,51;0,78;0,9;0,65;0,62;0,33;0,5;0,68;0;0
RA-21;18;Masculino;Escola Pública;6,94;6,68;;7;D;508;9;6;1;0;0;0;9,6;9,2;7,5;3,8;7;0,5;Não;7,25;5;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,06;0,55;0,61;0,52;;0,59;0,04;0,29;1;0;0;0;0,96;0,92;0,67;0,38;0,7;0,05;0,63;0,33;0,5;0,61;1;0
RA-22;17;Feminino;Rede Decisão;7,47;7,65;;6;A;327;10;10;1;1;0;1;8,3;7,4;8,1;6,7;9;3,1;Sim;8,83;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7,56;0,5;0,69;0,69;;0,38;0,05;0,53;1;1;0;1;0,83;0,74;0,75;0,67;0,9;0,31;0,84;0,33;0,5;0,67;0;1
RA-23;17;Masculino;Escola Pública;7,68;7,95;;6;A;243;8;8;1;1;1;1;8,3;8,2;8,1;6,7;7,2;4,7;Sim;8,56;5;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7,88;0,5;0,73;0,75;;0,28;0,04;0,41;1;1;1;1;0,83;0,82;0,75;0,67;0,72;0,47;0,81;0,33;0,5;0,72;1;1
RA-24;17;Feminino;Rede Decisão;8,09;7,46;;6;A;119;5;5;1;0;1;1;9,2;7,9;6,9;8,6;10;6,3;Sim;9,11;5;-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8,08;0,5;0,79;0,66;;0,14;0,02;0,24;1;0;1;1;0,92;0,79;0,59;0,86;1;0,63;0,88;0,33;0,5;0,74;0;1
RA-25;17;Feminino;Escola Pública;7,98;8,18;;6;A;147;6;6;1;1;1;1;8,3;8,3;8,8;6,9;9,2;3,8;Sim;9,67;5;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7,84;0,5;0,77;0,79;;0,17;0,03;0,29;1;1;1;1;0,83;0,83;0,84;0,69;0,92;0,38;0,95;0,33;0,5;0,71;0;1
RA-26;17;Masculino;Escola Pública;8,68;7,67;;6;A;17;3;3;1;1;0;1;9,6;8,8;10;8;9,5;4,4;Sim;10;5;-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8,02;0,5;0,88;0,7;;0,02;0,01;0,12;1;1;0;1;0,96;0,88;1;0,8;0,95;0,44;1;0,33;0,5;0,74;1;1
RA-27;17;Masculino;Rede Decisão;7,12;6,59;;6;A;449;12;12;1;1;1;1;0;7,6;8,1;8;7,7;6,3;Sim;9,11;5;-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7,93;0,5;0,64;0,51;;0,52;0,06;0,65;1;1;1;1;0;0,76;0,75;0,8;0,77;0,63;0,88;0,33;0,5;0,72;1;1
RA-28;17;Feminino;Escola Pública;6,24;6,69;;6;A;698;14;14;1;0;0;1;7,9;6,1;7,5;5;8,2;1,5;Não;6,33;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,16;0,5;0,5;0,52;;0,81;0,07;0,76;1;0;0;1;0,79;0,61;0,67;0,5;0,82;0,15;0,51;0,33;0,5;0,62;0;0
RA-29;17;Masculino;Escola Pública;4,99;5,36;;6;A;821;16;16;1;0;0;;0;4;8,8;3,7;6,3;1,1;Não;7,61;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7,5;0,5;0,31;0,29;;0,95;0,08;0,88;1;0;0;;0;0,4;0,84;0,37;0,63;0,11;0,68;0,33;0,5;0,67;1;0
RA-30;16;Feminino;Escola Pública;7,6;7,67;;6;A;270;9;9;1;0;1;1;8,8;6,4;7,5;7,5;8,5;4,4;Não;7,33;10;0;Melhorar: Melhorar a sua entrega de lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,51;0,45;0,71;0,7;;0,31;0,04;0,47;1;0;1;1;0,88;0,64;0,67;0,75;0,85;0,44;0,64;1;0,62;0,67;0;0
RA-31;17;Feminino;Rede Decisão;8,84;8,29;;6;A;9;2;2;1;1;1;1;10;9,5;9,4;8;9;5,7;Sim;10;5;-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8,12;0,5;0,91;0,81;;0,01;0,01;0,06;1;1;1;1;1;0,95;0,92;0,8;0,9;0,57;1;0,33;0,5;0,75;0;1
RA-32;16;Feminino;Rede Decisão;7,37;6,85;;6;A;370;11;11;1;0;0;1;8,8;5,2;8,8;6,1;5,7;3,6;Não;7,94;10;0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7,79;0,45;0,68;0,55;;0,43;0,05;0,59;1;0;0;1;0,88;0,52;0,84;0,61;0,57;0,36;0,72;1;0,62;0,71;0;0
RA-33;17;Feminino;Escola Pública;4,95;5,42;;6;A;824;17;17;1;0;0;1;0;4,6;7,5;4,8;9;1,6;Não;6;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,34;0,5;0,3;0,3;;0,96;0,08;0,94;1;0;0;1;0;0,46;0,67;0,48;0,9;0,16;0,47;0,33;0,5;0,65;0;0
RA-34;17;Masculino;Rede Decisão;6,26;6,41;;6;A;692;13;13;1;1;1;1;9,6;4,8;8,1;3,8;4,7;4;Não;7,28;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,53;0,5;0,5;0,47;;0,8;0,06;0,71;1;1;1;1;0,96;0,48;0,75;0,38;0,47;0,4;0,64;0,33;0,5;0,54;1;0
RA-35;17;Feminino;Rede Decisão;8,96;8,41;;6;A;5;1;1;1;1;1;1;10;9,6;9,4;8,5;9;7,1;Sim;10;5;-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8,08;0,5;0,93;0,83;;0;0;0;1;1;1;1;1;0,96;0,92;0,85;0,9;0,71;1;0,33;0,5;0,74;0;1
RA-36;17;Feminino;Rede Decisão;7,88;7,72;;6;A;177;7;7;1;1;0;1;9,2;9;6,9;6,8;8,5;4,3;Sim;8,94;5;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7,61;0,5;0,76;0,71;;0,2;0,03;0,35;1;1;0;1;0,92;0,9;0,59;0,68;0,85;0,43;0,86;0,33;0,5;0,68;0;1
RA-37;17;Feminino;Rede Decisão;4,95;5,51;;6;A;825;18;18;1;0;0;1;0;5,4;5;5,9;2,3;5,3;Não;5,22;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,33;0,5;0,3;0,31;;0,96;0,09;1;1;0;0;1;0;0,54;0,33;0,59;0,23;0,53;0,36;0,33;0,5;0,51;0;0
RA-38;17;Feminino;Rede Decisão;8,52;8,11;;6;A;31;4;4;1;1;1;1;9,2;8,9;7,5;8,6;9;7;Sim;9,83;5;-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8,51;0,5;0,86;0,78;;0,03;0,02;0,18;1;1;1;1;0,92;0,89;0,67;0,86;0,9;0,7;0,98;0,33;0,5;0,8;0;1
RA-39;16;Feminino;Rede Decisão;6,03;6,88;;6;A;722;15;15;1;0;1;1;0;4,8;6,9;6,9;7,7;5,1;Não;6,11;10;0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,79;0,45;0,47;0,56;;0,84;0,07;0,82;1;0;1;1;0;0,48;0,59;0,69;0,77;0,51;0,48;1;0,62;0,71;0;0
RA-40;16;Feminino;Rede Decisão;7,2;7,52;;5;A;429;27;3;1;0;1;;7,9;7,8;7,5;6,8;4,7;7,3;Não;7,75;5;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7,98;0,45;0,65;0,67;;0,5;0,14;0,12;1;0;1;;0,79;0,78;0,67;0,68;0,47;0,73;0,7;0,33;0,5;0,73;0;0
RA-41;17;Masculino;Escola Pública;5,58;6,39;;5;A;777;51;9;0;0;0;;9,2;6,1;5;5,6;6,3;2,5;Não;4,38;5;-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,78;0,5;0,4;0,47;;0,9;0,26;0,47;0;0;0;;0,92;0,61;0,33;0,56;0,63;0,25;0,25;0,33;0,38;0,57;1;0
RA-42;15;Masculino;Rede Decisão;6,72;7,09;;5;A;582;33;5;0;0;1;;8,3;7,9;5,6;4,8;3,7;4,5;Não;6,08;10;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,62;0,4;0,58;0,59;;0,67;0,17;0,24;0;0;1;;0,83;0,79;0,41;0,48;0,37;0,45;0,48;1;0,62;0,68;1;0
RA-43;16;Feminino;Escola Pública;5,49;6,57;;5;A;791;54;11;0;0;;;6,3;6,5;5,6;4,3;4;5,8;Não;5,96;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,93;0,45;0,38;0,5;;0,92;0,28;0,59;0;0;;;0,63;0,65;0,41;0,43;0,4;0,58;0,46;0,33;0,5;0,59;0;0
RA-44;17;Feminino;Escola Pública;5,54;5,82;;5;A;785;52;10;0;0;0;;5;5,9;7,5;3;2,3;3,5;Não;7,29;5;-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,76;0,5;0,39;0,37;;0,91;0,27;0,53;0;0;0;;0,5;0,59;0,67;0,3;0,23;0,35;0,64;0,33;0,38;0,57;0;0
RA-45;15;Feminino;Rede Decisão;7,59;8,02;;5;A;277;17;2;1;0;1;;7,9;8,9;5,6;6,8;6,3;5,2;Não;7,42;10;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8,01;0,4;0,71;0,76;;0,32;0,08;0,06;1;0;1;;0,79;0,89;0,41;0,68;0,63;0,52;0,66;1;0,62;0,73;0;0
RA-46;17;Feminino;Escola Pública;6,05;6,65;;5;A;719;46;7;0;0;0;;8,8;8,4;6,3;2,1;2,8;2,8;Não;7,08;5;-2;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,12;0,5;0,47;0,52;;0,83;0,24;0,35;0;0;0;;0,88;0,84;0,51;0,21;0,28;0,28;0,61;0,33;0,38;0,62;0;0
RA-47;17;Feminino;Escola Pública;5,68;6,02;;5;A;762;49;8;0;0;0;;7,9;6,3;7,5;2,1;2,5;2,2;Não;7,04;5;-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,35;0,5;0,41;0,4;;0,88;0,25;0,41;0;0;0;;0,79;0,63;0,67;0,21;0,25;0,22;0,6;0,33;0,38;0,65;0;0
RA-48;15;Feminino;Rede Decisão;8,01;7,98;;5;A;140;10;1;1;0;1;;6,7;8,4;7,5;8,1;6,7;8;Sim;8,5;10;0;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8,01;0,4;0,78;0,75;;0,16;0,05;0;1;0;1;;0,67;0,84;0,67;0,81;0,67;0,8;0,8;1;0,62;0,73;0;1
RA-49;17;Feminino;Escola Pública;6,3;6,71;;5;A;687;42;6;0;0;1;;7,5;7,4;7,5;3,9;1,5;4,2;Não;7,04;5;-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,75;0,5;0,51;0,53;;0,8;0,21;0,29;0;0;1;;0,75;0,74;0,67;0,39;0,15;0,42;0,6;0,33;0,38;0,57;0;0
RA-50;18;Feminino;Escola Pública;7,14;7,48;;5;A;445;28;4;1;0;1;;7,5;8,4;7,5;7,8;6,5;7,3;Não;7,54;2,5;-3;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7,26;0,55;0,64;0,66;;0,52;0,14;0,18;1;0;1;;0,75;0,84;0,67;0,78;0,65;0,73;0,67;0;0,25;0,63;0;0
RA-51;17;Feminino;Escola Pública;6,49;7,21;;5;B;645;39;13;0;0;0;;8,8;7,6;7,5;5;4,5;4,5;Não;6,5;5;-2;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,32;0,5;0,54;0,62;;0,75;0,2;0,71;0;0;0;;0,88;0,76;0,67;0,5;0,45;0,45;0,53;0,33;0,38;0,64;0;0
RA-52;13;Masculino;Rede Decisão;7,86;7,81;;5;B;183;12;5;1;0;1;;9,6;8,9;7,5;6,2;3,3;6,3;Não;7,5;10;2;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8,12;0,3;0,75;0,72;;0,21;0,06;0,24;1;0;1;;0,96;0,89;0,67;0,62;0,33;0,63;0,67;1;0,88;0,75;1;0
RA-53;17;Masculino;Escola Pública;6,72;7,42;;5;B;579;32;11;1;0;;;9,2;7;7,5;7;6;8;Não;6,46;5;-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7;0,5;0,58;0,65;;0,67;0,16;0,59;1;0;;;0,92;0,7;0,67;0,7;0,6;0,8;0,53;0,33;0,38;0,6;1;0
RA-54;16;Feminino;Escola Pública;6,06;7,25;;5;B;716;45;14;0;0;;;7,9;6,9;7,5;4,8;3;6,5;Não;6,12;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7;0,45;0,47;0,62;;0,83;0,23;0,76;0;0;;;0,79;0,69;0,67;0,48;0,3;0,65;0,48;0,33;0,5;0,6;0;0
RA-55;16;Feminino;Escola Pública;6,58;7,05;;5;B;634;38;12;1;0;1;;7,1;7,6;5,6;7,5;6,7;7,8;Não;6,5;5;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,83;0,45;0,55;0,59;;0,74;0,19;0,65;1;0;1;;0,71;0,76;0,41;0,75;0,67;0,78;0,53;0,33;0,5;0,71;0;0
RA-56;15;Feminino;Rede Decisão;8,4;8,04;;5;B;46;7;1;0;0;1;;10;10;7,5;7;4,5;6,5;Não;8,25;10;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8,36;0,4;0,84;0,76;;0,05;0,03;0;0;0;1;;1;1;0,67;0,7;0,45;0,65;0,77;1;0,62;0,78;0;0
